zip,median_income
60018,69834
60106,69132
60601,123115
60602,235666
60603,114394
60604,67938
60605,112162
60606,130196
60607,109634
60608,61490
60609,43048
60610,99246
60611,117344
60612,52126
60613,88267
60614,123610
60615,51179
60616,65489
60617,46156
60618,91650
60619,43329
60620,40117
60621,24912
60622,110694
60623,35890
60624,29102
60625,76088
60626,51562
60628,46665
60629,46217
60630,84220
60631,103588
60632,48791
60633,54074
60634,75878
60636,27831
60637,31720
60638,76258
60639,53197
60640,63660
60641,72950
60642,131201
60643,73285
60644,31816
60645,63488
60646,103913
60647,89974
60649,38026
60651,44549
60652,70766
60653,34564
60654,127072
60655,105229
60656,75006
60657,98457
60659,57077
60660,56090
60661,139063
60707,68430
60827,32801