zip,community_area_code
60007,76
60018,76
60068,09
60106,76
60131,76
60176,76
60601,32
60602,32
60603,32
60604,32
60605,32
60605,33
60606,28
60606,32
60607,28
60607,32
60608,28
60608,29
60608,30
60608,31
60608,59
60608,60
60609,34
60609,35
60609,37
60609,38
60609,40
60609,58
60609,59
60609,60
60609,61
60609,63
60610,07
60610,08
60610,24
60611,08
60612,23
60612,24
60612,27
60612,28
60612,29
60613,03
60613,05
60613,06
60614,05
60614,06
60614,07
60614,22
60615,38
60615,39
60615,40
60615,41
60616,28
60616,31
60616,33
60616,34
60616,35
60616,60
60617,45
60617,46
60617,48
60617,51
60617,52
60617,55
60618,04
60618,05
60618,14
60618,16
60618,21
60618,22
60619,43
60619,44
60619,45
60619,47
60619,48
60619,49
60619,50
60619,69
60620,44
60620,49
60620,68
60620,69
60620,70
60620,71
60620,72
60620,73
60621,40
60621,68
60621,69
60622,22
60622,23
60622,24
60623,29
60623,30
60624,23
60624,25
60624,26
60624,27
60624,29
60625,04
60625,13
60625,14
60626,01
60626,02
60628,49
60628,50
60628,53
60628,54
60628,73
60628,75
60629,56
60629,62
60629,63
60629,64
60629,65
60629,66
60629,70
60630,10
60630,11
60630,12
60630,13
60630,14
60630,15
60630,16
60631,09
60631,10
60631,76
60632,30
60632,56
60632,57
60632,58
60632,59
60632,62
60632,63
60633,50
60633,51
60633,55
60634,15
60634,17
60634,18
60634,19
60634,76
60636,63
60636,66
60636,67
60636,68
60637,40
60637,41
60637,42
60637,43
60637,69
60638,56
60638,64
60639,19
60639,20
60639,21
60639,22
60639,23
60639,25
60640,03
60640,04
60640,77
60641,14
60641,15
60641,16
60641,19
60641,20
60641,21
60642,07
60642,08
60642,22
60642,24
60643,53
60643,72
60643,73
60643,75
60644,25
60645,01
60645,02
60646,10
60646,11
60646,12
60646,13
60647,07
60647,20
60647,21
60647,22
60647,23
60647,24
60649,42
60649,43
60649,46
60651,23
60651,24
60651,25
60652,65
60652,70
60653,35
60653,36
60653,38
60653,39
60654,08
60654,24
60654,28
60654,32
60655,72
60655,74
60655,75
60656,10
60656,76
60657,05
60657,06
60657,07
60659,02
60659,04
60659,12
60659,13
60660,01
60660,02
60660,04
60660,77
60661,24
60661,28
60706,15
60706,76
60707,17
60707,18
60707,19
60707,25
60714,12
60804,25
60804,56
60827,53
60827,54